Epoch 1089
Wins - A: 15, B: 36

  9 | A | Recover    ['0.07', '0.01', '0.75', '0.18']  15 | 100 | -0.01 | {}
 10 | A | Special    ['0.09', '0.01', '0.73', '0.17']  15 |  70 |  0.01 | {}
 11 | A | Defend     ['0.13', '0.01', '0.72', '0.15']  15 |  80 |  0.01 | {'Defend': 1}
 12 | A | Special    ['0.12', '0.01', '0.75', '0.12']  15 |  50 |  0.01 | {}
 13 | A | Recover    ['0.16', '0.02', '0.63', '0.19']  15 | 100 |  0.01 | {}
 14 | A | Recover    ['0.11', '0.01', '0.75', '0.14']  10 | 100 | -0.01 | {'Poison': 2}
 15 | A | Special    ['0.07', '0.01', '0.87', '0.06']   5 |  70 |  0.01 | {'Poison': 1}
 16 | A | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 |  70 | -9.98 | {'Poison': 1}
  0 | B | Special    ['0.04', '0.00', '0.75', '0.21']  95 |  70 |  0.01 | {'Poison': 1}
  1 | B | Special    ['0.09', '0.00', '0.70', '0.21']  90 |  40 |  0.01 | {}
  2 | B | Special    ['0.21', '0.00', '0.56', '0.23']  90 |  10 |  0.01 | {}
  3 | B | Attack     ['0.61', '0.00', '0.23', '0.16']  90 |  20 |  0.01 | {}
  4 | B | Attack     ['0.28', '0.00', '0.51', '0.21']  90 |  30 |  0.01 | {}
  5 | B | Special    ['0.09', '0.00', '0.71', '0.20']  85 |   0 |  0.01 | {'Poison': 2}
  6 | B | Special    ['0.37', '0.00', '0.39', '0.24']  80 |   0 |  0.00 | {'Poison': 1}
  7 | B | Special    ['0.16', '0.01', '0.51', '0.31']  75 |   0 |  0.00 | {'Poison': 2}
  8 | B | Recover    ['0.46', '0.00', '0.35', '0.18']  70 |  60 |  0.01 | {'Poison': 1}
  9 | B | Defend     ['0.44', '0.00', '0.41', '0.15']  65 |  70 |  0.01 | {'Defend': 1}
 10 | B | Recover    ['0.14', '0.00', '0.66', '0.20']  60 | 100 |  0.01 | {'Poison': 2}
 11 | B | Recover    ['0.11', '0.00', '0.67', '0.22']  55 | 100 | -0.01 | {'Poison': 1}
 12 | B | Defend     ['0.04', '0.00', '0.72', '0.24']  50 | 100 |  0.01 | {'Poison': 2, 'Defend': 1}
 13 | B | Special    ['0.29', '0.00', '0.49', '0.22']  45 |  70 |  0.01 | {'Poison': 1}
