Epoch 1039
Wins - A: 0, B: 1

  6 | A | Recover    ['0.13', '0.00', '0.12', '0.75']  65 | 100 |  0.01 | {'Poison': 2}
  7 | A | Recover    ['0.03', '0.00', '0.18', '0.79']  60 | 100 | -0.01 | {'Poison': 2}
  8 | A | Special    ['0.04', '0.01', '0.55', '0.41']  35 |  70 |  0.01 | {'Poison': 1}
  9 | A | Special    ['0.11', '0.01', '0.48', '0.40']  30 |  40 |  0.01 | {}
 10 | A | Recover    ['0.09', '0.03', '0.40', '0.49']  25 | 100 |  0.01 | {'Poison': 2}
 11 | A | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 | 100 | -9.97 | {'Poison': 2}
  0 | B | Special    ['0.04', '0.00', '0.75', '0.21']  95 |  70 |  0.01 | {}
  1 | B | Special    ['0.07', '0.00', '0.72', '0.21']  95 |  40 |  0.01 | {}
  2 | B | Recover    ['0.17', '0.00', '0.59', '0.24']  95 | 100 |  0.01 | {}
  3 | B | Defend     ['0.04', '0.00', '0.77', '0.19']  95 | 100 |  0.01 | {'Defend': 1}
  4 | B | Special    ['0.05', '0.00', '0.73', '0.22']  85 |  70 |  0.01 | {}
  5 | B | Special    ['0.06', '0.00', '0.72', '0.22']  80 |  40 |  0.01 | {'Poison': 2}
  6 | B | Special    ['0.30', '0.00', '0.51', '0.20']  75 |  10 |  0.01 | {'Poison': 1}
  7 | B | Attack     ['0.62', '0.00', '0.25', '0.13']  70 |  20 |  0.01 | {}
  8 | B | Defend     ['0.22', '0.00', '0.55', '0.23']  65 |  30 |  0.01 | {'Poison': 2, 'Defend': 1}
  9 | B | Special    ['0.10', '0.01', '0.63', '0.26']  60 |   0 |  0.01 | {'Poison': 2}
 10 | B | Attack     ['0.44', '0.00', '0.36', '0.19']  55 |  10 | 10.12 | {'Poison': 1}

Epoch 1042
Wins - A: 0, B: 4

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {}
  1 | A | Recover    ['0.11', '0.00', '0.08', '0.81']  90 | 100 | -0.01 | {'Poison': 2}
  2 | A | Recover    ['0.06', '0.00', '0.08', '0.87']  85 | 100 | -0.01 | {'Poison': 2}
  3 | A | Recover    ['0.08', '0.00', '0.27', '0.65']  60 | 100 | -0.01 | {'Poison': 1}
  4 | A | Special    ['0.03', '0.00', '0.40', '0.57']  55 |  70 |  0.01 | {'Poison': 2}
  5 | A | Recover    ['0.20', '0.00', '0.28', '0.51']  50 | 100 |  0.01 | {'Poison': 1}
  6 | A | Recover    ['0.08', '0.00', '0.45', '0.47']  45 | 100 | -0.01 | {'Poison': 2}
  7 | A | Recover    ['0.05', '0.01', '0.76', '0.18']  20 | 100 | -0.01 | {'Poison': 1}
  8 | A | Special    ['0.03', '0.00', '0.82', '0.15']  15 |  70 |  0.01 | {'Poison': 2}
  9 | A | Attack     ['0.12', '0.01', '0.71', '0.16']  10 |  80 |  0.01 | {'Poison': 1}
 10 | A | Special    ['0.12', '0.02', '0.70', '0.16']   5 |  50 |  0.01 | {'Poison': 2}
 10 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00'] -15 |  50 | -10.01 | {'Poison': 2}
  0 | B | Special    ['0.04', '0.00', '0.75', '0.21']  95 |  70 |  0.01 | {}
  1 | B | Special    ['0.07', '0.00', '0.72', '0.21']  95 |  40 |  0.01 | {}
  2 | B | Attack     ['0.17', '0.00', '0.59', '0.24']  95 |  50 |  0.01 | {}
  3 | B | Special    ['0.08', '0.00', '0.73', '0.19']  95 |  20 |  0.01 | {}
  4 | B | Recover    ['0.10', '0.00', '0.62', '0.27']  90 |  80 |  0.01 | {'Poison': 2}
  5 | B | Special    ['0.09', '0.00', '0.74', '0.17']  85 |  50 |  0.01 | {'Poison': 1}
  6 | B | Attack     ['0.22', '0.00', '0.61', '0.18']  80 |  60 |  0.01 | {}
  7 | B | Special    ['0.25', '0.00', '0.60', '0.16']  80 |  30 |  0.01 | {}
  8 | B | Recover    ['0.15', '0.00', '0.67', '0.18']  75 |  90 |  0.01 | {'Poison': 2}
  9 | B | Special    ['0.17', '0.00', '0.60', '0.22']  50 |  60 | 10.12 | {'Poison': 1}

Epoch 1043
Wins - A: 1, B: 4

  0 | A | Attack     ['0.19', '0.00', '0.08', '0.73']  95 | 100 |  0.01 | {'Poison': 1}
  1 | A | Special    ['0.15', '0.00', '0.06', '0.79']  90 |  70 |  0.01 | {'Poison': 2}
  2 | A | Recover    ['0.14', '0.00', '0.05', '0.80']  85 | 100 |  0.01 | {'Poison': 2}
  3 | A | Recover    ['0.11', '0.00', '0.19', '0.70']  60 | 100 | -0.01 | {'Poison': 1}
  4 | A | Recover    ['0.04', '0.00', '0.17', '0.78']  55 | 100 | -0.01 | {'Poison': 2}
  5 | A | Defend     ['0.18', '0.00', '0.31', '0.51']  50 | 100 |  0.01 | {'Poison': 1, 'Defend': 1}
  6 | A | Recover    ['0.20', '0.00', '0.40', '0.39']  45 | 100 | -0.01 | {}
  7 | A | Special    ['0.14', '0.00', '0.42', '0.43']  40 |  70 |  0.01 | {'Poison': 2}
  8 | A | Special    ['0.18', '0.01', '0.55', '0.25']  35 |  40 |  0.01 | {'Poison': 1}
  9 | A | Attack     ['0.27', '0.03', '0.32', '0.37']  30 |  50 |  0.01 | {'Poison': 2}
 10 | A | Attack     ['0.27', '0.03', '0.26', '0.44']  25 |  60 | 10.06 | {'Poison': 2}
  0 | B | Special    ['0.07', '0.00', '0.65', '0.27']  75 |  70 |  0.01 | {'Poison': 1}
  1 | B | Special    ['0.08', '0.00', '0.67', '0.26']  70 |  40 |  0.01 | {'Poison': 2}
  2 | B | Attack     ['0.48', '0.00', '0.35', '0.16']  65 |  50 |  0.01 | {'Poison': 1}
  3 | B | Special    ['0.40', '0.00', '0.41', '0.18']  60 |  20 |  0.01 | {}
  4 | B | Recover    ['0.57', '0.00', '0.30', '0.14']  60 |  80 |  0.01 | {}
  5 | B | Recover    ['0.22', '0.00', '0.55', '0.23']  60 | 100 |  0.01 | {}
  6 | B | Special    ['0.16', '0.00', '0.60', '0.25']  60 |  70 |  0.01 | {}
  7 | B | Recover    ['0.12', '0.00', '0.64', '0.24']  55 | 100 |  0.01 | {'Poison': 2}
  8 | B | Special    ['0.05', '0.00', '0.63', '0.32']  50 |  70 |  0.01 | {'Poison': 2}
  9 | B | Special    ['0.14', '0.01', '0.52', '0.33']  25 |  40 |  0.01 | {'Poison': 1}
 10 | B | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 |  40 | -9.90 | {'Poison': 1}

Epoch 1044
Wins - A: 2, B: 4

  0 | A | Attack     ['0.19', '0.00', '0.08', '0.73']  95 | 100 |  0.01 | {'Poison': 1}
  1 | A | Attack     ['0.23', '0.00', '0.19', '0.59']  70 | 100 |  0.01 | {}
  2 | A | Recover    ['0.26', '0.00', '0.16', '0.58']  70 | 100 | -0.01 | {}
